id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
360141,Massive Warehouse Loft Apartment,1821747,Scott,,Marrickville,-33.91701,151.15206,Entire home/apt,90,7,166,2022-08-15,1.30,1,20,6,PID-STRA-1700
363237,"1br, Parking, WiFi, Garden",1835730,Mina,,Ashfield,-33.88749,151.14016,Entire home/apt,85,90,3,2014-10-31,0.03,1,0,0,
1219209,Private Room in Big House - Best location in Manly,6652149,Mike,,Manly,-33.80516,151.2885,Private room,45,90,0,,,1,0,0,
363282,Lux pad in Potts Point,1835060,Sarah,,Sydney,-33.87112,151.22452,Entire home/apt,264,1,87,2022-09-06,0.70,1,321,13,PID-STRA-8581
813754,Bondi Tamarama Luxury Apartment!,4276604,Mike,,Waverley,-33.89724,151.27002,Entire home/apt,716,90,26,2017-03-21,0.22,1,365,0,
813853,Perfect Position on Queen Street,1460480,Karren,,Woollahra,-33.88765,151.24002,Entire home/apt,200,7,49,2021-03-15,0.43,1,181,0,PID-STRA-10670-6
1240947,RIVIERA at Palm Beach B&B,6764931,Rudi & Avalon,,Pittwater,-33.60005,151.32136,Private room,230,2,31,2017-04-13,0.32,4,247,0,Exempt
365953,En suite room in gorgeous house!,1827246,Jen,,Mosman,-33.82183,151.23645,Private room,145,90,6,2017-01-14,0.08,1,358,0,
1243792,Great studio next to Carriageworks,6779186,Heather,,Sydney,-33.89681,151.18734,Entire home/apt,130,3,443,2022-09-04,4.00,1,64,37,PID-STRA-6881-2
366856,Bondi Studio 5  - in the heart of Bondi,1852102,Ann And Mad,,Waverley,-33.894644729629384,151.26371899444314,Entire home/apt,164,2,137,2022-09-05,1.10,3,250,3,PID-STRA-6434-2
821744,Sunny home lower North Shore Sydney with pool.,4314951,Mark,,North Sydney,-33.82413,151.22848,Entire home/apt,650,90,3,2016-02-27,0.03,1,166,0,
1253710,Darling Harbour City Apartment,6830650,Tom,,Sydney,-33.87281,151.19624,Entire home/apt,180,3,263,2022-01-30,2.35,1,0,7,PID-STRA-28566
822347,STUNNING City Loft Warehouse Apt,2667699,Natacha,,Sydney,-33.89202,151.19521,Entire home/apt,391,3,45,2022-09-04,0.41,1,238,17,PID-STRA-14744
366857,Studio 8-  in the Heart of Bondi,1852102,Ann And Mad,,Waverley,-33.89247,151.26267,Entire home/apt,169,2,126,2022-08-13,1.21,3,251,15,PID-STRA-6430
